ensemblGeneID	GeneSymbol	p1.shared_all_subcomp.1	p2.shared_all_subcomp.2	p3.shared_all_subcomp.3	p4.shared_all_subcomp.4	p5.shared_all_subcomp.5	p6.shared_all_subcomp.6	p7shared_all_subcomp.7	p8.shared_all_subcomp.8	p9.shared_all_subcomp.9	p10.shared_all_subcomp.10	p11.shared_all_subcomp.11	p12.shared_all_subcomp.12	p13.shared_all_subcomp.13	p14.shared_all_subcomp.14	p15.shared_all_subcomp.15	p16.shared_all_subcomp.16	p17.shared_all_subcomp.17	p18.shared_all_subcomp.18	p19.shared_all_subcomp.19	p20.shared_all_subcomp.20
ENSG00000100365	NCF4	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0023	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0016	0.0000	0.0021	0.0000
ENSG00000088881	EBF4	0.0002	0.0282	0.0015	0.0000	0.0001	0.1109	0.0000	0.0906	0.0041	0.0994	0.0000	0.0001	0.0680	0.0000	0.0000	0.0160	0.0000	0.0070	0.0000	0.0000
ENSG00000105639	JAK3	0.0002	0.0310	0.0189	0.0005	0.0000	0.0221	0.0031	0.0235	0.0083	0.1693	0.0158	0.0168	0.0071	0.0087	0.0017	0.0000	0.1251	0.0911	0.0720	0.0592
ENSG00000137673	MMP7	0.0002	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0050	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0007	0.0000	0.0014	0.0000
ENSG00000176029	C11orf16	0.0002	0.0000	0.0052	0.0004	0.0000	0.0000	0.0000	0.0043	0.0000	0.0216	0.0001	0.0047	0.0000	0.0004	0.0000	0.0000	0.0023	0.0035	0.0020	0.0000
ENSG00000183260	ABHD16B	0.0002	0.0009	0.0088	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0058	0.0000	0.0000	0.0000	0.0040	0.0000	0.0000	0.0000	0.0002	0.0000	0.0044
ENSG00000131781	FMO5	0.0002	0.1669	0.0469	0.0041	0.0000	0.0643	0.0017	0.1919	0.0070	0.2742	0.0003	0.0273	0.0011	0.0146	0.0009	0.0000	0.1954	0.4596	0.1657	0.2230
ENSG00000162889	MAPKAPK2	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1067	0.1553	0.0261	0.0000	0.0000	0.0760	0.0000	0.0000	0.0224	0.0000	0.0354	0.0000	0.0000
ENSG00000171155	C1GALT1C1	0.0002	0.1509	0.0711	0.0019	0.0155	0.0043	0.0001	0.0038	0.0191	0.0000	0.0001	0.1523	0.0155	0.0016	0.0001	0.0298	0.0005	0.0004	0.0041	0.1843
ENSG00000159189	C1QC	0.0002	0.0000	0.0006	0.0000	0.0001	0.0000	0.0012	0.0000	0.0002	0.0022	0.0000	0.0002	0.0003	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000
ENSG00000253598	SLC10A5	0.0002	0.0050	0.0151	0.0000	0.0000	0.0005	0.0132	0.0011	0.0012	0.0000	0.0000	0.0099	0.0096	0.0125	0.0023	0.0000	0.0037	0.0293	0.0162	0.0124
ENSG00000103485	QPRT	0.0002	0.0228	0.0010	0.0096	0.0054	0.0298	0.0001	0.0005	0.0007	0.1333	0.0002	0.0159	0.0000	0.0017	0.0002	0.0000	0.0053	0.0239	0.0083	0.0000
ENSG00000154783	FGD5	0.0002	0.0000	0.0266	0.0361	0.0000	0.0000	0.0366	0.0580	0.0000	0.0703	0.0035	0.0073	0.0000	0.0293	0.0001	0.0000	0.0361	0.1093	0.0070	0.0001
ENSG00000213977	TAX1BP3	0.0002	0.0089	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0107	0.0000	0.0032	0.0000	0.0000	0.0028	0.0001	0.0000	0.0134
ENSG00000138271	GPR87	0.0002	0.0000	0.0000	0.0020	0.0000	0.0000	0.0014	0.0002	0.0000	0.0082	0.0007	0.0000	0.0000	0.0000	0.0000	0.0146	0.0111	0.0018	0.0000	0.0060
ENSG00000164690	SHH	0.0002	0.0001	0.0004	0.0000	0.0000	0.0009	0.0017	0.0000	0.0000	0.0003	0.0000	0.0009	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0013	0.0022
ENSG00000172590	MRPL52	0.0002	0.1715	0.1270	0.0257	0.0133	0.0199	0.0000	0.0144	0.0099	0.0705	0.0003	0.3757	0.0520	0.0178	0.0004	0.0016	0.0000	0.0337	0.0402	0.0582
ENSG00000125871	MGME1	0.0002	0.0327	0.0036	0.0476	0.0000	0.0260	0.0061	0.0019	0.0102	0.1239	0.0127	0.0168	0.0123	0.0045	0.0014	0.0078	0.0016	0.0082	0.0074	0.0567
ENSG00000179284	DAND5	0.0002	0.0091	0.0000	0.0023	0.0000	0.0000	0.0000	0.0001	0.0001	0.0638	0.0000	0.0046	0.0000	0.0013	0.0000	0.0000	0.0064	0.0002	0.0032	0.0007
ENSG00000108604	SMARCD2	0.0002	0.0012	0.0324	0.0263	0.0146	0.0052	0.0244	0.0765	0.0143	0.1011	0.0698	0.0144	0.0014	0.0013	0.0035	0.0346	0.0210	0.1095	0.0004	0.0014
ENSG00000132432	SEC61G	0.0002	0.1213	0.3236	0.0838	0.0006	0.0020	0.0000	0.0077	0.0053	0.0000	0.0001	0.6386	0.0450	0.0735	0.0020	0.0045	0.0014	0.0007	0.1200	0.1554
ENSG00000184436	THAP7	0.0002	0.0388	0.1098	0.0008	0.0427	0.0095	0.0331	0.0145	0.0051	0.0159	0.0018	0.1244	0.0007	0.0018	0.0030	0.0271	0.0039	0.0088	0.0062	0.0694
ENSG00000112486	CCR6	0.0002	0.0001	0.0000	0.0000	0.0005	0.0000	0.0000	0.0079	0.0199	0.0225	0.0000	0.0000	0.0000	0.0000	0.0000	0.0249	0.0000	0.0191	0.0000	0.0685
ENSG00000109854	HTATIP2	0.0002	0.1488	0.1421	0.0144	0.0243	0.0473	0.0080	0.0922	0.0329	0.0144	0.0742	0.2414	0.0158	0.0104	0.0477	0.0483	0.0475	0.0623	0.0150	0.2113
ENSG00000164867	NOS3	0.0002	0.0081	0.0007	0.0000	0.0000	0.0000	0.0000	0.0007	0.0015	0.0168	0.0000	0.0008	0.0023	0.0129	0.0000	0.0000	0.0031	0.0002	0.0125	0.0001
ENSG00000105793	GTPBP10	0.0002	0.0592	0.1454	0.0123	0.1935	0.0688	0.0516	0.0712	0.0621	0.0156	0.1098	0.1096	0.0747	0.0095	0.0114	0.2048	0.0096	0.0832	0.0008	0.2248
ENSG00000175183	CSRP2	0.0002	0.1312	0.0018	0.0000	0.0058	0.0000	0.0254	0.0933	0.1669	0.0019	0.0311	0.0000	0.0012	0.0000	0.0000	0.0142	0.0000	0.0589	0.0004	0.0031
ENSG00000162804	SNED1	0.0002	0.0012	0.0058	0.3157	0.0100	0.1438	0.6997	0.0272	0.0000	0.5289	0.1389	0.0001	0.0000	0.0168	1.0839	0.0003	0.0233	0.0003	0.1484	0.2208
ENSG00000144119	C1QL2	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.2554	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1376	0.0000	0.0000	0.0158	0.0000	0.0000	0.0000
ENSG00000181350	LRRC75A	0.0002	0.0370	0.1032	0.0000	0.0187	0.0099	0.0057	0.0024	0.0007	0.0785	0.0195	0.0156	0.0003	0.0439	0.0250	0.0327	0.0000	0.0837	0.0303	0.0000
ENSG00000125780	TGM3	0.0002	0.0044	0.0009	0.0000	0.0000	0.0032	0.0076	0.0000	0.0000	0.0332	0.0000	0.0000	0.0013	0.0000	0.0000	0.0000	0.0027	0.0000	0.0054	0.0050
ENSG00000164695	CHMP4C	0.0002	0.0054	0.0000	0.0003	0.0000	0.0000	0.0000	0.0004	0.0012	0.0068	0.0000	0.0001	0.0000	0.0030	0.0000	0.0000	0.0055	0.0007	0.0003	0.0000
ENSG00000112964	GHR	0.0002	0.0001	0.0000	0.0000	0.0000	0.2225	0.0018	0.3754	0.7263	0.2009	0.0000	0.0000	0.7987	0.0000	0.0000	0.0003	0.4231	0.0000	0.0000	0.3749
ENSG00000183733	FIGLA	0.0002	0.0000	0.0000	0.0000	0.0011	0.0000	0.0000	0.0006	0.0000	0.0076	0.0001	0.0000	0.0003	0.0009	0.0000	0.0000	0.0001	0.0000	0.0016	0.0000
ENSG00000186198	SLC51B	0.0002	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0003	0.0000	0.0001	0.0000	0.0000	0.0000	0.0008
